Date,Honeywell (HON) Price
11/26/2007,36.6767
11/27/2007,37.2697
11/28/2007,38.3247
11/29/2007,37.842
11/30/2007,39.0418
12/3/2007,39.3452
12/4/2007,39.0556
12/5/2007,39.8072
12/6/2007,40.152
12/7/2007,40.152
12/10/2007,41.0139
12/11/2007,40.2347
12/12/2007,39.8141
12/13/2007,41.8207
12/14/2007,41.3587
12/17/2007,41.5104
12/18/2007,41.7793
12/19/2007,42.1241
12/20/2007,41.8483
12/21/2007,41.8621
12/24/2007,42.4275
12/25/2007,42.4275
12/26/2007,42.593
12/27/2007,42.193
12/28/2007,42.1999
12/31/2007,42.4551
1/1/2008,42.4551
1/2/2008,41.3035
1/3/2008,41.5104
1/4/2008,40.1865
1/7/2008,40.0486
1/8/2008,39.3659
1/9/2008,39.7176
1/10/2008,39.8693
1/11/2008,39.166
1/14/2008,39.8486
1/15/2008,38.9867
1/16/2008,39.6693
1/17/2008,38.3178
1/18/2008,38.1316
1/21/2008,38.1316
1/22/2008,37.2008
1/23/2008,38.9591
1/24/2008,38.7522
1/25/2008,40.1658
1/28/2008,40.6278
1/29/2008,40.2968
1/30/2008,40.1058
1/31/2008,40.7312
2/1/2008,41.5173
2/4/2008,41.7035
2/5/2008,40.7105
2/6/2008,40.4554
2/7/2008,40.5244
2/8/2008,39.8762
2/11/2008,39.7452
2/12/2008,39.6693
2/13/2008,40.5657
2/14/2008,39.6555
2/15/2008,38.6419
2/18/2008,38.6419
2/19/2008,38.897
2/20/2008,38.8557
2/21/2008,38.2764
2/22/2008,38.9867
2/25/2008,39.1772
2/26/2008,40.9927
2/27/2008,41.3183
2/28/2008,41.0065
2/29/2008,39.8701
3/3/2008,40.57
3/4/2008,40.5492
3/5/2008,40.8956
3/6/2008,39.8286
3/7/2008,39.1911
3/10/2008,38.5813
3/11/2008,39.4683
3/12/2008,39.4821
3/13/2008,39.2881
3/14/2008,38.8931
3/17/2008,38.2626
3/18/2008,39.3435
3/19/2008,38.1864
3/20/2008,37.6182
3/21/2008,37.6182
3/24/2008,38.1171
3/25/2008,38.8031
3/26/2008,38.5467
3/27/2008,38.1101
3/28/2008,38.6991
3/31/2008,39.0941
4/1/2008,40.0434
4/2/2008,39.9325
4/3/2008,39.9394
4/4/2008,40.376
4/7/2008,40.2651
4/8/2008,39.6276
4/9/2008,40.2097
4/10/2008,40.7432
4/11/2008,39.489
4/14/2008,39.0594
4/15/2008,39.1287
4/16/2008,40.1057
4/17/2008,39.7731
4/18/2008,42.2607
4/21/2008,41.8449
4/22/2008,41.152
4/23/2008,40.7501
4/24/2008,41.7895
4/25/2008,41.9142
4/28/2008,41.8934
4/29/2008,41.4777
4/30/2008,41.159
5/1/2008,42.039
5/2/2008,42.0112
5/5/2008,41.9835
5/6/2008,42.129
5/7/2008,40.8749
5/8/2008,41.1312
5/9/2008,41.2906
5/12/2008,41.5608
5/13/2008,42.1498
5/14/2008,42.9536
5/15/2008,43.2585
5/16/2008,43.0184
5/19/2008,43.3246
5/20/2008,42.7469
5/21/2008,41.8422
5/22/2008,41.3202
5/23/2008,40.8956
5/26/2008,40.8956
5/27/2008,41.1531
5/28/2008,41.2227
5/29/2008,41.2923
5/30/2008,41.4942
6/2/2008,40.5824
6/3/2008,39.7682
6/4/2008,39.4828
6/5/2008,39.4619
6/6/2008,37.5897
6/9/2008,38.1326
6/10/2008,37.889
6/11/2008,37.7637
6/12/2008,38.7103
6/13/2008,39.3158
6/16/2008,39.1
6/17/2008,38.3205
6/18/2008,38.0143
6/19/2008,38.5224
6/20/2008,37.722
6/23/2008,38.2718
6/24/2008,37.8681
6/25/2008,35.8428
6/26/2008,34.2003
6/27/2008,34.263
6/30/2008,34.9937
7/1/2008,35.3974
7/2/2008,34.5344
7/3/2008,35.0146
7/4/2008,35.0146
7/7/2008,35.2025
7/8/2008,35.822
7/9/2008,34.7502
7/10/2008,35.6688
7/11/2008,34.3186
7/14/2008,34.437
7/15/2008,33.2956
7/16/2008,34.3813
7/17/2008,35.3974
7/18/2008,35.2582
7/21/2008,34.6875
7/22/2008,36.4135
7/23/2008,36.6989
7/24/2008,35.7593
7/25/2008,35.3835
7/28/2008,34.8198
7/29/2008,35.8637
7/30/2008,36.4901
7/31/2008,35.3835
8/1/2008,35.4948
8/4/2008,35.1886
8/5/2008,35.8916
8/6/2008,35.6688
8/7/2008,34.7502
8/8/2008,35.7176
8/11/2008,35.8846
8/12/2008,35.7454
8/13/2008,35.4113
8/14/2008,35.3487
8/15/2008,35.4461
8/18/2008,35.2199
8/19/2008,34.5164
8/20/2008,34.1154
8/21/2008,34.2983
8/22/2008,35.037
8/25/2008,34.1576
8/26/2008,34.432
8/27/2008,34.5727
8/28/2008,35.4029
8/29/2008,35.2973
9/1/2008,35.2973
9/2/2008,35.3184
9/3/2008,34.5797
9/4/2008,33.7636
9/5/2008,33.5736
9/8/2008,34.1928
9/9/2008,33.1796
9/10/2008,33.4611
9/11/2008,33.5103
9/12/2008,33.454
9/15/2008,32.3072
9/16/2008,32.3283
9/17/2008,30.8016
9/18/2008,30.9845
9/19/2008,31.8851
9/22/2008,30.675
9/23/2008,30.3795
9/24/2008,29.6689
9/25/2008,30.4991
9/26/2008,31.076
9/29/2008,28.4025
9/30/2008,29.2327
10/1/2008,27.9171
10/2/2008,26.8125
10/3/2008,26.6225
10/6/2008,25.2717
10/7/2008,24.5892
10/8/2008,23.9771
10/9/2008,22.0846
10/10/2008,21.5288
10/13/2008,23.5198
10/14/2008,22.5841
10/15/2008,20.4594
10/16/2008,21.7609
10/17/2008,20.6634
10/20/2008,20.9096
10/21/2008,20.2976
10/22/2008,19.594
10/23/2008,20.3187
10/24/2008,19.1085
10/27/2008,18.4472
10/28/2008,20.6142
10/29/2008,20.4383
10/30/2008,21.1981
10/31/2008,21.4232
11/3/2008,21.7469
11/4/2008,23.0766
11/5/2008,21.8032
11/6/2008,19.8684
11/7/2008,20.6564
11/10/2008,20.3609
11/11/2008,19.2633
11/12/2008,18.799
11/13/2008,20.2553
11/14/2008,19.2422
11/17/2008,18.5105
11/18/2008,18.5598
11/19/2008,17.1527
11/20/2008,16.6531
11/21/2008,17.8562
11/24/2008,18.4261
11/25/2008,18.208
11/26/2008,19.0452
11/27/2008,19.0452
11/28/2008,19.601
12/1/2008,18.2854
12/2/2008,18.7075
12/3/2008,18.6442
12/4/2008,17.9266
12/5/2008,18.6723
12/8/2008,19.1437
12/9/2008,19.4744
12/10/2008,20.3398
12/11/2008,20.0583
12/12/2008,20.3679
12/15/2008,21.6554
12/16/2008,23.0766
12/17/2008,23.0907
12/18/2008,23.0203
12/19/2008,22.9992
12/22/2008,22.4434
12/23/2008,22.3097
12/24/2008,22.4012
12/25/2008,22.4012
12/26/2008,22.4926
12/29/2008,21.9579
12/30/2008,22.9288
12/31/2008,23.0977
1/1/2009,23.0977
1/2/2009,24.3852
1/5/2009,24.2586
1/6/2009,25.3561
1/7/2009,24.2375
1/8/2009,24.343
1/9/2009,24.0194
1/12/2009,23.759
1/13/2009,23.4847
1/14/2009,22.5138
